choice,pagesubmit,clickcount,prob50,prob48,prob30,prob14,prob12,prob10,prob0,expect,complex,seenfirst,seensecond,alt1,alt2,alt3,alt4,alt5,gender1,age1,age2,age3,age4,education2,education3,education4,education5,ethnicity1,marital_status1,income2,income3,income4,income5,income6,income11,employment1,costop
0,16.195999,2,0,0,0,0,1,0,0,12,0,1,0,3,1,4,2,5,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,3
3,46.195,4,.25,0,.25,0,0,.25,.25,22.5,3,0,0,3,5,2,1,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,3
0,3.5639999,0,0,0,0,0,1,0,0,12,0,1,0,3,1,4,2,5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3
0,51.742001,2,0,0,0,0,1,0,0,12,0,1,0,4,5,1,3,2,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,3
0,1.3329999,0,0,0,0,0,1,0,0,12,0,1,0,5,4,3,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,3
2,66.577003,2,0,0,.5,0,0,.5,0,20,1,0,1,3,1,2,5,4,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,3
1,14.396,1,.5,0,0,0,0,0,.5,25,1,0,1,1,4,5,3,2,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,3
0,3.6989999,1,0,0,0,0,1,0,0,12,0,1,0,3,4,2,5,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,3
2,47.613998,1,0,0,.5,0,0,.5,0,20,1,0,0,3,5,2,1,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,3
4,134.73399,2,.25,.2,0,.15000001,0,0,.40000001,24.125,3,0,0,3,1,2,5,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
2,28.490999,2,0,0,.5,0,0,.5,0,20,1,0,1,5,1,4,3,2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,3
